Expert Rating,ExpertNumber,Team,Vision,Product,Value of Token Sold in ICO,Price in ICO,Price in ICO_1,Tokens for sale,Min. investment,Distributed in ICO,Soft cap,Hard cap
1.4,5,1,1.1,1,NA,0.4581,0.4581,14700000,0.01,NA,9957897,14700000
2.3,1,5,5,5,NA,0.18,0.18,5.50E+07,NA,NA,NA,NA
2.1,0,NA,NA,NA,NA,0.58,0.58,1.50E+07,NA,75,NA,7500000
1.8,3,1.5,1.5,1.5,NA,0.395,0.395,7.50E+10,0.01,75,10000,60000
2.1,0,NA,NA,NA,NA,1.9,1.9,1.00E+06,NA,NA,NA,NA
2.1,0,NA,NA,NA,NA,3,3,9500000,200,NA,NA,NA
2.1,0,NA,NA,NA,26250,0.0246,0.0246,NA,0.4,50,10000,1070000
2.1,0,NA,NA,NA,NA,1,1,NA,10,NA,NA,NA
1.5,3,1,1,1,NA,0.1,0.1,5.00E+06,10,NA,NA,4.00E+06
2.1,0,NA,NA,NA,NA,1.2,1.2,8.00E+06,NA,53,NA,NA
1.9,1,1,1,1,NA,0.1,0.1,6.50E+07,0.1,65,NA,NA
2.1,0,NA,NA,NA,NA,0.053,0.053,2.00E+08,0.1,48,NA,2.00E+08
2.1,0,NA,NA,NA,NA,0.0367,0.0367,4.00E+09,5,40,NA,NA
2.1,0,NA,NA,NA,50720,0,0,2.05E+10,0.01,68,300,1800
2,0,NA,NA,NA,NA,1.2,1.2,7380000,NA,82,NA,NA
2,0,NA,NA,NA,8748793,0.098,0.098,1.00E+08,NA,NA,1.00E+07,2.50E+07
2,1,2,2,2,NA,4.28,4.28,NA,NA,50,3000,50000
1.9,1,1,1,1,NA,0.18,0.18,1.00E+08,NA,NA,NA,NA
2,0,NA,NA,NA,92724,0,0,59500000,NA,70,NA,NA
2,0,NA,NA,NA,NA,0.1039,0.1039,7.00E+07,NA,70,NA,1.00E+08
2,0,NA,NA,NA,NA,0,0,7.00E+08,0.01,70,NA,6.00E+07
2,0,NA,NA,NA,NA,0.1515,0.1515,8.50E+07,NA,85,1500,NA
2,0,NA,NA,NA,NA,1.5,1.5,NA,NA,92,NA,NA
2.3,2,2.7,3,2.6,NA,0.33,0.33,3.00E+08,NA,60,NA,1.00E+08
1.8,1,1,1,1,NA,0.4776,0.4776,109609500,NA,73,3221476,42953
2,0,NA,NA,NA,NA,0.2231,0.2231,4.50E+07,1,45,NA,45000
2,0,NA,NA,NA,NA,0.0304,0.0304,2.50E+09,NA,NA,5.00E+06,5.00E+07
2,0,NA,NA,NA,NA,0.0526,0.0526,76500000,NA,85,1600,6200
1.8,1,1,1,1,NA,0.096,0.096,NA,NA,NA,1000,NA
2,0,NA,NA,NA,NA,0.2278,0.2278,NA,NA,NA,NA,NA
3.1,13,3.7,3.2,3.3,NA,0.5,0.5,3.50E+07,0.01,70,4000,24000
2.1,0,NA,NA,NA,5015678,1.5,1.5,4500000,NA,91,NA,NA
2.6,3,2.9,3.9,3.6,NA,0.378,0.378,6.00E+07,NA,51,3000,50000
2,0,NA,NA,NA,NA,1,1,1.00E+07,NA,50,NA,NA
2,0,NA,NA,NA,NA,0.5278,0.5278,2.00E+08,0.1,25,3.00E+05,1400000
2,0,NA,NA,NA,NA,0.05,0.05,4.00E+08,NA,80,1.00E+06,2.00E+07
2,0,NA,NA,NA,NA,0.9,0.9,3.00E+07,NA,NA,1.00E+07,3.00E+07
2,0,NA,NA,NA,NA,1.1095,1.1095,2.00E+07,NA,40,NA,NA
2,0,NA,NA,NA,1185990,0.0395,0.0395,NA,0.1,40,NA,NA
1.8,0,NA,NA,NA,NA,0.05,0.05,1.50E+09,100,75,2.50E+07,7.50E+07
1.8,0,NA,NA,NA,NA,0.875,0.875,NA,NA,50,NA,NA
2,2,2.3,3,2.3,NA,0,0,2.10E+07,NA,NA,1000,210000
2.7,1,5,5,5,1.00E+07,1,1,NA,NA,NA,NA,NA